,filename,imageID,xy_pix_size,z_pix_size,PinholeSize,ch_size,channels
369,2017Jan19_Tcp1_000037.mvd2 [2017Jan19_tcp1_000037_YFP_syp_dlg_20x],240681,0.41839539265530395,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
370,2017Jan19_Tcp1_000037.mvd2 [2017Jan19_tcp1_000037_YFP_syp_dlg_CB_ventral_60x_2],240683,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
371,2017Jan19_Tcp1_000037.mvd2 [2017Jan19_tcp1_000037_YFP_syp_dlg_OL_ventral_60x],240684,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
372,2017Jan19_Tcp1_000037.mvd2 [2017Jan19_tcp1_000037_YFP_syp_dlg_VNC_ventral_60x],240685,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
373,2017Jan19_Tcp1_000037.mvd2 [2017Jan19_tcp1_000037_YFP_syp_dlg_CB_dorsal_60x],240686,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
374,2017Jan19_Tcp1_000037.mvd2 [2017Jan19_tcp1_000037_YFP_syp_dlg_OL_dorsal_60x],240687,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
375,2017Jan19_Tcp1_000037.mvd2 [2017Jan19_tcp1_000037_YFP_syp_dlg_anlagen_dorsal_60x],240688,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
376,2017Jan19_Tcp1_000037.mvd2 [2017Jan19_tcp1_000037_YFP_syp_dlg_VNC_dorsal_60x],240689,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
377,2017Jan19_Tcp1_000037.mvd2 [2017Jan19_tcp1_000037_YFP_syp_dlg_OrR_CB_60x],240690,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
378,2017Feb07_Flo-2_001427.mvd2 [2017Feb07_Flo-2_0001427_newdlg_syp_CB_ventral_60x_squashed],244021,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
379,2017Feb07_Flo-2_001427.mvd2 [2017Feb07_Flo-2_0001427_newdlg_syp_OL_ventral_60x_squashed],244022,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
380,2017Feb07_Flo-2_001427.mvd2 [2017Feb07_Flo-2_0001427_newdlg_syp_VNC_ventral_60x_squashed],244023,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
381,2017Feb07_Flo-2_001427.mvd2 [2017Feb07_Flo-2_0001427_newdlg_syp_CB_dorsal_60x_squashed],244024,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
382,2017Feb07_Flo-2_001427.mvd2 [2017Feb07_Flo-2_0001427_newdlg_syp_OL_dorsal_60x_squashed],244025,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
383,2017Feb07_Flo-2_001427.mvd2 [2017Feb07_Flo-2_0001427_newdlg_syp_VNC_dorsal_60x_squashed],244026,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
384,2017Feb07_gish_different_002023.mvd2 [2017Feb07_Gish_different_002023_YFP_newdlg_syp_CB_dorsal_60x],244027,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
385,2017Feb07_gish_different_002023.mvd2 [2017Feb07_Gish_different_002023_YFP_newdlg_syp_OL_dorsal_60x],244028,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
386,2017Feb07_gish_different_002023.mvd2 [2017Feb07_Gish_different_002023_YFP_newdlg_syp_VNC_dorsal_60x],244029,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
387,2017Feb07_gish_different_002023.mvd2 [2017Feb07_Gish_different_002023_YFP_newdlg_syp_CB_dorsal_lobes?_60x],244030,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
388,2017Feb07_gish_different_002023.mvd2 [2017Feb07_Gish_different_002023_YFP_newdlg_syp_VNC_dorsal_NBs?_60x],244031,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
389,2017Feb07_gish_different_002023.mvd2 [2017Feb07_Gish_different_002023_YFP_newdlg_syp_OL_dorsal_NP_60x],244032,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
390,2017Feb07_Jupiter_003917.mvd2 [2017Feb07_Jupiter_003917_YFP_newdlg_syp_CB_ventral_60x],244035,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
391,2017Feb07_Jupiter_003917.mvd2 [2017Feb07_Jupiter_003917_YFP_newdlg_syp_OL_ventral_60x],244036,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
392,2017Feb07_Jupiter_003917.mvd2 [2017Feb07_Jupiter_003917_YFP_newdlg_syp_anlagen_ventral_60x],244037,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
393,2017Feb07_Jupiter_003917.mvd2 [2017Feb07_Jupiter_003917_YFP_newdlg_syp_VNC_ventral_60x],244038,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
394,2017Feb07_Jupiter_003917.mvd2 [2017Feb07_Jupiter_003917_YFP_newdlg_syp_CB_dorsal_60x],244039,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
395,2017Feb07_Jupiter_003917.mvd2 [2017Feb07_Jupiter_003917_YFP_newdlg_syp_OL_dorsal_60x],244040,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
